time,tug_id,B,C,D,E,F,G,H,M
2400,1,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,2,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,3,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,4,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,5,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,6,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,7,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,8,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,9,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,10,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,11,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,12,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,13,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,14,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,15,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,16,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,17,50.0,50.0,48.0,50.0,50.0,50.0,50.0,50.0
2400,18,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,19,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,20,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,21,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,22,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,23,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,24,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,25,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,26,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,27,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,28,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,0,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,1,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,2,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,3,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,4,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,5,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,6,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,7,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,8,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,9,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,10,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,11,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,12,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,13,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,14,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,15,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,16,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,17,50.0,50.0,48.0,50.0,50.0,50.0,50.0,50.0
3000,18,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,19,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,20,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,21,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,22,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,23,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,24,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,25,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,26,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,27,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3000,28,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,0,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,1,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,2,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,3,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,4,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,5,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,6,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,7,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,8,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,9,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,10,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,11,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,12,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,13,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,14,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,15,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,16,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,17,50.0,50.0,48.0,50.0,50.0,50.0,50.0,50.0
3600,18,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,19,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,20,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,21,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,22,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,23,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,24,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,25,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,26,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,27,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
3600,28,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,0,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,1,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,2,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,3,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,4,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,5,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,6,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,7,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,8,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,9,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,10,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,11,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,12,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,13,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,14,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,15,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,16,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,17,50.1,50.0,48.0,50.0,50.0,50.0,50.0,50.0
4200,18,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,19,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,20,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,21,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,22,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
